trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.31651324881888,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-23.221508523353137,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-124.84982803767838,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,5,-98.8830529308879,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-66.25796536901893,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-53.33147696110569,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,10,-61.23224395698479,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,7,-6.346520120575351,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,14,14.46685916070753,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-40.9823946747029,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,13.735089131942237,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-86.00395949989249,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-26.06655813304112,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-27.272837500496685,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-31.439736216090118,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-148.05138994378686,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-13.810402964589628,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-89.7264239705926,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,13.990017809633741,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,23.775921104216692,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-74.42307378200067,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-18.4391306858727,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-67.18626806890806,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,15.776457089331672,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-10.637954695889766,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,6,-2.1939559657253143,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,16,6.971910217466966,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-75.49211576317859,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-16.8865879877051,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,0.134816898608483,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
