trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",30,0,-240.7203982267478,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
2,False,"{'a': 0.8, 'e': 0.999000499833375}",25,0,-219.1352377023015,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.9980019986673331}",25,0,-39.50294615613274,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.997004495503373}",25,0,-121.57792058330432,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.9960079893439915}",20,0,-174.48761454622002,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.9950124791926823}",30,11,-93.1524749274901,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 1}",1
7,False,"{'a': 0.8, 'e': 0.9940179640539353}",20,0,-29.869709149510687,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.9930244429332351}",20,0,-80.37312274018493,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.9920319148370607}",20,13,-41.22547841352669,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.8, 'e': 0.9910403787728836}",20,0,-145.08506998706156,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9900498337491681}",25,0,-101.7014625966847,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9890602787753687}",20,0,-49.18308688117141,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.9880717128619305}",25,0,-142.95597668896065,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.9870841350202876}",20,13,-45.23462266460658,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.8, 'e': 0.9860975442628619}",25,0,-143.15142819516456,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.9851119396030626}",20,0,-114.57628808930144,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.9841273200552851}",20,0,-139.75244824298645,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.9831436846349096}",30,0,-144.54202866133446,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.9821610323583008}",20,0,-119.63554320879629,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.981179362242806}",25,0,-99.775808816845,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.9801986733067553}",30,15,-105.651798048643,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
22,False,"{'a': 0.8, 'e': 0.9792189645694596}",25,9,-118.76640080362795,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 2}",1
23,False,"{'a': 0.8, 'e': 0.97824023505121}",20,14,-20.501048934165063,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.9772624837732771}",25,0,-124.25971760659618,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.9762857097579093}",20,0,-105.70214513054717,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.9753099120283326}",25,0,-84.60233313455389,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.9743350896087494}",20,0,-13.941571631294153,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.9733612415243368}",30,2,-100.53418154067657,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 1}",1
29,False,"{'a': 0.8, 'e': 0.9723883668012469}",20,0,-47.61445899546614,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.9714164644666048}",20,0,-192.74760215019282,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
31,False,"{'a': 0.8, 'e': 0.9704455335485082}",20,0,-93.81781734494115,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.9694755730760259}",20,0,-99.90786810166836,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
33,False,"{'a': 0.8, 'e': 0.9685065820791976}",30,0,-148.23801876798458,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.967538559589032}",20,0,-136.49502855539254,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.9665715046375066}",25,0,-184.6484452902417,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
36,False,"{'a': 0.8, 'e': 0.9656054162575665}",20,0,-80.89425489307526,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
37,False,"{'a': 0.8, 'e': 0.9646402934831231}",25,3,-104.35893189373341,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 2}",1
38,False,"{'a': 0.8, 'e': 0.9636761353490535}",20,0,-120.14763365079351,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
39,False,"{'a': 0.8, 'e': 0.9627129408911995}",35,0,-184.92927790034432,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
40,False,"{'a': 0.8, 'e': 0.9617507091463667}",25,0,-196.1967903595348,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
41,False,"{'a': 0.8, 'e': 0.9607894391523232}",20,9,-68.50761649771474,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.8, 'e': 0.9598291299477989}",30,0,-64.33994984059413,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.9588697805724845}",25,0,-65.2431539765881,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.9579113900670306}",30,0,-184.04247033887987,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
45,False,"{'a': 0.8, 'e': 0.9569539574730467}",25,0,-103.56360681510935,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
46,False,"{'a': 0.8, 'e': 0.9559974818331}",35,14,-135.3162722346888,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 2}",1
47,False,"{'a': 0.8, 'e': 0.9550419621907147}",30,0,-144.66839894434995,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.9540873975903711}",30,0,-60.529768253449895,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.8, 'e': 0.9531337870775047}",30,0,-174.04940667806332,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
50,False,"{'a': 0.8, 'e': 0.9521811296985049}",20,0,-156.893287339186,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
51,False,"{'a': 0.8, 'e': 0.951229424500714}",25,0,-179.22431977165783,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
52,False,"{'a': 0.8, 'e': 0.950278670532427}",20,0,-60.93399552375313,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.9493288668428895}",20,0,-102.97093654767869,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
54,False,"{'a': 0.8, 'e': 0.9483800124822982}",25,0,-23.783370701905834,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.9474321065017983}",25,0,-135.98284681095936,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.8, 'e': 0.9464851479534838}",30,0,-109.96511824691991,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.9455391358903963}",20,0,-102.5774400813743,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.8, 'e': 0.9445940693665233}",20,0,-36.048686800483246,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.9436499474367985}",30,0,-66.08317572954329,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.9427067691570997}",20,0,-35.504928620708085,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.9417645335842487}",20,0,-163.34846816742007,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.8, 'e': 0.9408232397760097}",20,0,-45.53076620069341,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.9398828867910889}",20,0,-55.44397639186018,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.9389434736891332}",20,0,-188.56449300155882,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
65,False,"{'a': 0.8, 'e': 0.9380049995307295}",20,0,-120.87997295407483,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
