trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.58341493458296,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,1,-115.37486061023685,"{0: 21, 1: 7, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,1,-21.71247861759466,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.98667576683596,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,2,-220.16591427139667,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 5}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.11765847593954,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.667562962826,"{0: 18, 1: 5, 2: 2, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.38569271823368,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,4,-26.2929426399979,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.44995833571195,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.29650125986706,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.91995785129893,"{0: 13, 1: 4, 2: 10, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,15,-57.93609328719797,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.63105183643626,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.2425451369709,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.07637347109292,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.91344112554555,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.5465316979263,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.08776094388585,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.70879505978862,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-244.04951846839066,"{0: 19, 1: 5, 2: 4, 3: 4, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.04088222707637,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.22474057330217,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.16898753166447,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,3,-131.65935836071503,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-193.65984186747778,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-281.48197724518116,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.58875083056869,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-110.47066022831825,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-158.84599014177823,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
